,n_teams,record_bytes,median_r,mean_r,std_r,item_total_corr,n_at_record,a,b1,b2,b3,b4,b4_minus_b1,info_mean,info_high,difficulty_rank,tier,core100
task396,36,139.0,0.504,0.557,0.158,0.896,1,3.166,-0.563,0.875,2.241,2.493,3.056,2.04,3.403,1,T5_hardest,False
task183,40,79.0,0.798,0.66,0.214,0.92,1,3.229,-0.756,-0.422,2.224,2.482,3.238,2.094,2.56,2,T5_hardest,False
task224,34,114.0,0.525,0.563,0.145,0.851,1,2.862,-0.896,1.391,2.055,2.471,3.367,1.853,3.457,3,T5_hardest,False
task281,34,103.0,0.474,0.54,0.176,0.903,1,3.318,0.086,0.9,2.22,2.468,2.382,2.166,3.82,4,T5_hardest,False
task366,34,301.0,0.805,0.786,0.125,0.515,1,2.696,-1.727,-1.531,1.612,2.43,4.157,1.754,2.127,5,T5_hardest,False
task117,33,115.0,0.516,0.5,0.2,0.873,1,3.146,-0.493,1.358,2.009,2.429,2.922,2.088,3.975,6,T5_hardest,False
task014,43,57.0,0.543,0.542,0.203,0.843,1,3.035,-0.372,0.534,1.968,2.403,2.775,2.026,3.045,7,T5_hardest,False
task165,35,112.0,0.58,0.616,0.209,0.891,1,2.723,-0.829,0.336,1.1,2.383,3.212,1.843,2.308,8,T5_hardest,False
task272,39,71.0,0.534,0.557,0.162,0.925,1,4.231,-0.241,0.708,2.155,2.38,2.621,2.903,4.737,9,T5_hardest,True
task098,39,64.0,0.604,0.55,0.165,0.894,1,3.248,-0.477,0.911,1.753,2.379,2.856,2.211,3.83,10,T5_hardest,False
task099,34,93.0,0.504,0.515,0.23,0.905,1,2.86,-0.152,0.754,1.792,2.375,2.527,1.92,3.158,11,T5_hardest,False
task106,41,55.0,0.679,0.662,0.144,0.869,1,3.315,-2.328,-0.098,1.959,2.361,4.689,2.139,2.927,12,T5_hardest,False
task280,35,145.0,0.594,0.587,0.226,0.892,1,3.191,-0.695,0.313,1.585,2.354,3.049,2.186,3.033,13,T5_hardest,False
task240,34,89.0,0.543,0.569,0.211,0.915,1,3.194,-0.277,0.55,1.477,2.345,2.622,2.195,3.293,14,T5_hardest,False
task230,38,95.0,0.651,0.633,0.185,0.937,1,3.072,-1.012,-0.11,1.433,2.339,3.351,2.106,2.658,15,T5_hardest,False
task156,34,118.0,0.563,0.564,0.169,0.909,1,3.639,-1.044,0.709,1.925,2.338,3.382,2.506,4.065,16,T5_hardest,False
task020,38,126.0,0.582,0.623,0.186,0.898,1,3.212,-1.006,0.587,1.364,2.332,3.338,2.213,3.278,17,T5_hardest,False
task017,39,90.0,0.545,0.554,0.197,0.891,1,3.66,-0.568,0.703,1.71,2.325,2.893,2.541,4.119,18,T5_hardest,True
task273,35,75.0,0.521,0.56,0.209,0.893,1,3.189,-0.563,0.693,1.437,2.325,2.888,2.198,3.44,18,T5_hardest,False
task180,40,74.0,0.861,0.859,0.049,0.853,1,2.994,-2.739,-2.374,0.016,2.318,5.057,1.67,1.316,20,T5_hardest,False
task139,38,81.0,0.611,0.585,0.245,0.953,1,3.289,-0.198,0.12,1.382,2.318,2.516,2.276,3.027,20,T5_hardest,False
task118,35,225.0,0.804,0.791,0.106,0.596,1,3.444,-1.605,-1.411,1.533,2.311,3.916,2.376,3.028,22,T5_hardest,False
task077,34,110.0,0.504,0.548,0.273,0.945,1,3.103,-0.272,0.504,0.974,2.303,2.575,2.147,2.824,23,T5_hardest,False
task208,33,163.0,0.584,0.588,0.17,0.93,1,4.007,-0.775,0.31,1.903,2.297,3.072,2.799,3.945,24,T5_hardest,False
task192,34,99.0,0.513,0.552,0.234,0.927,1,3.356,-0.047,0.691,1.306,2.297,2.344,2.333,3.693,24,T5_hardest,False
task325,38,140.0,0.656,0.68,0.147,0.866,1,3.304,-1.913,-0.147,1.28,2.296,4.209,2.263,2.847,26,T5_hardest,False
task194,40,55.0,0.679,0.645,0.169,0.902,1,3.154,-2.362,-0.11,1.736,2.283,4.645,2.047,2.836,27,T5_hardest,False
